Region,Province,City/Municipality,Rural,Thrift,UKB
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Akbar,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Al-Barka,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Hadji Mohammad Ajul,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Hadji Muhtamad,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Lamitan City,0,2,1
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Lantawan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Maluso,0,0,1
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Sumisip,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Tabuan-Lasa,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Tipo-Tipo,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Tuburan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Ungkaya Pukan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Ampatuan,0,0,1
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Bacolod-Kalawi (Bacolod Grande),0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Balabagan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Balindong (Watu),0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Barira,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Bayang,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Binidayan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Buadiposo-Buntong,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Bubong,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Buldon,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Buluan,0,0,1
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Bumbaran,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Butig,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Calanogas,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Abdullah Sangki,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Anggal Midtimbang,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Blah T. Sinsuat,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Hoffer Ampatuan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Odin Sinsuat(Dinaig),0,0,1
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Paglas,1,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Piang,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Salibo,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Saudi-Ampatuan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Datu Unsay,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Ditsaan-Ramain,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Ganassi,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Gen. S.K. Pendatun,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Guindulungan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Kabuntalan (Tumbao),0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Kapai,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Kapatagan,0,0,1
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Lumba-Bayabao (Maguing),0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Lumbaca-Unayan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Lumbatan,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Lumbayanague,0,0,0
